Depth1 (모듈),Depth2 (화면/페이지),Depth3 (섹션),Depth4 (기능 단위),Depth5 (세부 항목),Action,진입 경로,비고
,,,최근 장애 알림,장애 항목명,조회,,"최근 7일 장애
장애 관리 모듈 연동 시 — MVP 확인 필요"
,,,,인시던트 ID,조회,,
,,,,발생 일시,조회,,
,,,명령 요청 목록,명령어 목록 (비활성화 안내 포함),실행,,
,,,,명령어별 안내 문구,실행,,
,,,,요청 버튼,실행,,
,,,명령 이력,명령어,조회,,
,,,,요청 일시,조회,,
,,,,수행 상태,조회,,대기 중 / 요청 실패 / 수행 성공 / 수행 실패
,OTA 관리,앱 업로드,앱 유형 선택,Agent,등록,사이드바 > 원격 관리 > OTA 관리,한 가지 유형만 선택 가능
,,,,Updater,등록,,
,,,파일 업로드,로컬 파일 탐색기 실행,등록,,
,,,버전 입력,앱 버전 입력,등록,,"파일명에 입력된 앱버전을 기준으로 기본으로 입력
ex ) Agent-2.2.18 -> 버전 2.2.18"
,,,릴리즈 노트 입력,릴리즈 노트 텍스트 입력,등록,,
,,배포 생성,배포할 앱 선택,앱 유형 선택 (Agent / Updater),실행,,앱 유형 기준 정렬
,,,,앱 버전 리스트 선택,실행,,
,,,배포 대상 선택,고객사 / 그룹 필터,실행,,
,,,,단말 / 정류장 리스트,실행,,NORMAL 상태 단말만 선택 가능
,,,,선택 배포 대상 수 표시,실행,,
,,,배포 일정,즉시 배포 선택,실행,,선택 시 배포 시작 버튼 제공
,,,,예약 배포 선택 (배포 일시 입력),실행,,선택 시 배포 예약 버튼 제공
,,,자동 롤백,활성화,설정,,실패율 30% 이상 시 이전 버전으로 롤백
,,,,비활성화,설정,,
,,,롤백 버전 선택,앱 버전 리스트 선택,설정,,"자동 롤백 활성화 시 롤백할 버전 파일을 미리 선택
안드로이드에서는 업그레이드 밖에 안되기에 롤백할 버전 관리가 따로 필요"
,,배포 현황 요약,배포 건수 요약,전체 배포 건수,조회,,진행 중 + 완료 + 실패 합산 (예약 제외)
,,,,진행 중 건수,조회,,
,,,,완료 건수,조회,,
,,,,실패 건수,조회,,
